# Метеостанция Минск, Беларусь, WMO_ID=26850, выборка с 16.07.2019 по 22.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26850&lang=ru
#
"Местное время в Минске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.07.2019 12:00";"17.8";"741.6";"761.8";"0.2";"93";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"16.7";"";"";"";"";"";"";
"22.07.2019 09:00";"17.9";"741.4";"761.5";"0.3";"93";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Дождь.";"14.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"14.0";"16.8";"3.0";"12";"";"";"";"";
"22.07.2019 06:00";"17.1";"741.1";"761.2";"-0.3";"94";"Ветер, дующий с севера";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"10.0";"16.1";"";"";"";"";"";"";
"22.07.2019 03:00";"15.1";"741.4";"761.8";"-0.6";"91";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"12.0";"13.6";"";"";"";"";"";"";
"22.07.2019 00:00";"17.3";"742.0";"762.2";"0.1";"82";"Ветер, дующий с северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"18.0";"14.2";"";"";"";"";"";"";
"21.07.2019 21:00";"23.0";"741.9";"761.7";"-0.1";"61";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"29.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"19.0";"15.1";"";"";"";"";"";"";
"21.07.2019 18:00";"27.9";"742.0";"761.5";"-0.8";"37";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"11.9";"";"";"";"";"";"";
"21.07.2019 15:00";"27.4";"742.8";"762.4";"-0.4";"38";"Ветер, дующий с юго-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"14.0";"11.8";"";"";"";"";"";"";
"21.07.2019 12:00";"26.2";"743.2";"762.8";"-0.2";"40";"Ветер, дующий с запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"11.5";"";"";"";"";"";"";
"21.07.2019 09:00";"22.0";"743.4";"763.3";"0.4";"59";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"11.1";"";"";"";"";"";"";"15.0";"13.6";"";"";"";"";"";"";
"21.07.2019 06:00";"11.5";"743.0";"763.7";"-0.1";"96";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"15.0";"10.9";"";"";"";"";"";"";
"21.07.2019 03:00";"12.5";"743.1";"763.7";"0.3";"93";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"14.0";"11.4";"";"";"";"";"";"";
"21.07.2019 00:00";"14.6";"742.8";"763.3";"0.7";"89";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"15.0";"12.8";"";"";"";"";"";"";
"20.07.2019 21:00";"20.6";"742.1";"762.1";"0.1";"63";"Ветер, дующий с северо-северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"26.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"21.0";"13.3";"";"";"";"";"";"";
"20.07.2019 18:00";"26.0";"742.0";"761.6";"-0.3";"38";"Ветер, дующий с западо-северо-запада";"3";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"25.0";"10.6";"";"";"";"";"";"";
"20.07.2019 15:00";"24.3";"742.3";"762.1";"0.1";"41";"Ветер, дующий с западо-северо-запада";"4";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"22.0";"10.2";"";"";"";"";"";"";
"20.07.2019 12:00";"22.6";"742.2";"762.1";"0.3";"44";"Ветер, дующий с северо-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"23.0";"9.7";"";"";"";"";"";"";
"20.07.2019 09:00";"19.3";"741.9";"762.0";"0.7";"60";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"9.1";"";"";"";"";"";"";"25.0";"11.3";"";"";"";"";"";"";
"20.07.2019 06:00";"9.7";"741.2";"762.0";"0.5";"97";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"17.0";"9.2";"";"";"";"";"";"";
"20.07.2019 03:00";"9.9";"740.7";"761.5";"0.4";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"15.0";"9.1";"";"";"";"";"";"";
"20.07.2019 00:00";"11.9";"740.3";"760.9";"0.7";"91";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"15.0";"10.5";"";"";"";"";"";"";
"19.07.2019 21:00";"20.6";"739.6";"759.5";"0.5";"48";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"23.1";"";"";"";"";"";"20.0";"9.2";"";"";"";"";"";"";
"19.07.2019 18:00";"22.3";"739.1";"758.9";"0.1";"48";"Ветер, дующий с западо-северо-запада";"3";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"10.8";"";"";"";"";"";"";
"19.07.2019 15:00";"22.3";"739.0";"758.8";"0.1";"45";"Ветер, дующий с западо-северо-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.8";"";"";"";"";"";"";
"19.07.2019 12:00";"21.2";"738.9";"758.8";"0.4";"48";"Ветер, дующий с западо-северо-запада";"5";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.8";"";"";"";"";"";"";
"19.07.2019 09:00";"17.5";"738.5";"758.6";"0.4";"72";"Ветер, дующий с западо-северо-запада";"3";"";"";"20–30%.";" ";"";"";"12.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"12.4";"";"";"";"";"";"";
"19.07.2019 06:00";"12.9";"738.1";"758.6";"0.7";"85";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"13.0";"10.4";"";"";"";"";"";"";
"19.07.2019 03:00";"14.1";"737.4";"757.7";"0.6";"83";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"13.0";"11.3";"";"";"";"";"";"";
"19.07.2019 00:00";"15.3";"736.8";"757.0";"0.6";"84";"Ветер, дующий с запада";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"12.0";"12.6";"";"";"";"";"";"";
"18.07.2019 21:00";"17.0";"736.2";"756.3";"0.8";"77";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"19.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"13.0";"12.9";"4.0";"12";"";"";"";"";
"18.07.2019 18:00";"19.1";"735.4";"755.4";"0.3";"66";"Ветер, дующий с северо-запада";"4";"";"10";"70 – 80%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"12.0";"12.6";"";"";"";"";"";"";
"18.07.2019 15:00";"17.4";"735.1";"755.2";"";"83";"Ветер, дующий с западо-северо-запада";"3";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Дождь.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.5";"";"";"";"";"";"";
"18.07.2019 12:00";"15.3";"735.1";"755.2";"";"93";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"14.2";"";"";"";"";"";"";
"18.07.2019 09:00";"14.2";"734.9";"755.2";"0.4";"90";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"12.5";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"12.6";"Следы осадков";"12";"";"";"";"";
"18.07.2019 06:00";"13.3";"734.5";"754.8";"0.0";"95";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"12.5";"";"";"";"";"";"";
"18.07.2019 03:00";"12.5";"734.5";"754.9";"-0.2";"95";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"12.0";"11.7";"";"";"";"";"";"";
"18.07.2019 00:00";"13.5";"734.7";"755.0";"0.2";"88";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"11.6";"";"";"";"";"";"";
"17.07.2019 21:00";"14.7";"734.5";"754.7";"0.6";"80";"Ветер, дующий с западо-северо-запада";"1";"";"";"40%.";" ";"";"";"";"17.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"11.3";"Следы осадков";"12";"";"";"";"";
"17.07.2019 18:00";"17.1";"733.9";"754.0";"0.0";"62";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"9.8";"";"";"";"";"";"";
"17.07.2019 15:00";"17.0";"733.9";"753.9";"0.2";"66";"Ветер, дующий с северо-запада";"4";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"10.6";"";"";"";"";"";"";
"17.07.2019 12:00";"16.0";"733.7";"753.8";"0.1";"69";"Ветер, дующий с запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"16.0";"10.3";"";"";"";"";"";"";
"17.07.2019 09:00";"14.3";"733.6";"753.9";"-0.1";"82";"Ветер, дующий с западо-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"12.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"11.3";"3.0";"12";"";"";"";"";
"17.07.2019 06:00";"12.7";"733.7";"754.0";"-0.4";"93";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"12.0";"11.6";"";"";"";"";"";"";
"17.07.2019 03:00";"12.8";"734.1";"754.4";"-0.7";"96";"Ветер, дующий с юга";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"12.2";"";"";"";"";"";"";
"17.07.2019 00:00";"12.8";"734.8";"755.2";"-0.9";"95";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"12.0";"12.0";"";"";"";"";"";"";
"16.07.2019 21:00";"13.8";"735.7";"756.0";"1.5";"90";"Ветер, дующий с западо-северо-запада";"2";"";"10";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"";"22.4";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"12.2";"0.8";"12";"";"";"";"";
"16.07.2019 18:00";"21.6";"734.2";"753.9";"-0.6";"43";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высокослоистые просвечивающие.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"12.0";"8.5";"";"";"";"";"";"";
"16.07.2019 15:00";"21.9";"734.8";"754.5";"-1.0";"41";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высокослоистые просвечивающие.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"8.1";"";"";"";"";"";"";
"16.07.2019 12:00";"19.7";"735.8";"755.8";"-0.9";"57";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"14.0";"11.0";"";"";"";"";"";"";
"16.07.2019 09:00";"16.3";"736.7";"756.9";"-0.5";"91";"Ветер, дующий с северо-востока";"1";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"11.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"12.0";"14.8";"3.0";"12";"";"";"";"";
"16.07.2019 06:00";"14.2";"737.2";"757.5";"-0.2";"75";"Ветер, дующий с севера";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"8.0";"9.8";"";"";"";"";"";"";
"16.07.2019 03:00";"12.1";"737.4";"757.9";"-0.4";"92";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"10.8";"";"";"";"";"";"";
"16.07.2019 00:00";"12.4";"737.8";"758.3";"0.3";"89";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"10.6";"";"";"";"";"";"";
