# Метеостанция Нур-Султан, Казахстан, WMO_ID=35188, выборка с 16.07.2019 по 22.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Нур-Султане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.07.2019 15:00";"23.7";"722.2";"751.5";"1.9";"65";"Ветер, дующий с севера";"4";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"10.0";"16.6";"";"";"";"";"";"";
"22.07.2019 12:00";"27.4";"720.3";"749.2";"-0.9";"48";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"20.2";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"10.0";"15.5";"2.0";"12";"";"";"";"";
"22.07.2019 09:00";"24.0";"721.2";"750.4";"-0.2";"58";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";"Гроза (с осадками или без них). ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"15.3";"2.0";"12";"Поверхность почвы влажная.";"19.0";"";"";
"22.07.2019 06:00";"23.2";"721.4";"750.7";"-0.8";"56";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"14.0";"";"";"";"";"";"";
"22.07.2019 03:00";"20.2";"722.2";"751.9";"-0.9";"78";"Ветер, дующий с запада";"1";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"16.3";"";"";"";"";"";"";
"22.07.2019 00:00";"25.3";"723.1";"752.3";"-0.8";"47";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"33.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"13.2";"";"";"";"";"";"";
"21.07.2019 21:00";"29.8";"723.9";"752.7";"-0.9";"34";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"33.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"12.4";"";"";"";"";"";"";
"21.07.2019 18:00";"31.6";"724.8";"753.4";"-0.5";"31";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"12.3";"";"";"";"";"";"";
"21.07.2019 15:00";"33.4";"725.3";"753.8";"-1.5";"27";"Ветер, дующий с востоко-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"11.7";"";"";"";"";"";"";
"21.07.2019 12:00";"29.9";"726.8";"755.7";"-0.5";"33";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"17.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.8";"";"";"";"";"";"";
"21.07.2019 09:00";"26.4";"727.3";"756.6";"-0.5";"48";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.6";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"21.07.2019 06:00";"18.3";"727.8";"757.9";"0.0";"74";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"21.07.2019 03:00";"19.7";"727.8";"757.7";"-0.7";"67";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"13.3";"";"";"";"";"";"";
"21.07.2019 00:00";"25.3";"728.5";"757.9";"0.2";"46";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"31.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"12.7";"";"";"";"";"";"";
"20.07.2019 21:00";"27.8";"728.3";"757.5";"0.0";"35";"Ветер, дующий с севера";"2";"";"";"40%.";" ";"";"";"";"31.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.0";"";"";"";"";"";"";
"20.07.2019 18:00";"31.1";"728.3";"757.2";"-0.3";"24";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"20.07.2019 15:00";"31.0";"728.6";"757.6";"-0.5";"20";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.7";"";"";"";"";"";"";
"20.07.2019 12:00";"28.7";"729.1";"758.2";"0.0";"31";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"18.6";"";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"20.07.2019 09:00";"24.5";"729.1";"758.7";"0.6";"40";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.0";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"20.07.2019 06:00";"18.9";"728.5";"758.7";"0.6";"50";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"20.07.2019 03:00";"21.8";"727.9";"757.7";"-0.3";"45";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"20.07.2019 00:00";"23.2";"728.2";"757.8";"0.3";"50";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"32.5";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"19.07.2019 21:00";"28.5";"727.9";"757.0";"-0.3";"33";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"19.07.2019 18:00";"31.8";"728.2";"757.0";"-0.3";"27";"Ветер, дующий с севера";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.5";"";"";"";"";"";"";
"19.07.2019 15:00";"30.7";"728.5";"757.4";"-0.9";"28";"Ветер, дующий с северо-востока";"3";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.0";"";"";"";"";"";"";
"19.07.2019 12:00";"29.0";"729.4";"758.5";"-0.3";"31";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"14.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.1";"";"";"";"";"";"";
"19.07.2019 09:00";"25.9";"729.7";"759.1";"0.4";"37";"Ветер, дующий с северо-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.1";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"19.07.2019 06:00";"15.2";"729.3";"759.8";"0.3";"63";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.2";"";"";"";"";"";"";
"19.07.2019 03:00";"18.8";"729.0";"759.1";"0.0";"47";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"19.07.2019 00:00";"20.4";"729.0";"759.0";"0.4";"43";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"30.8";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"18.07.2019 21:00";"26.2";"728.6";"758.0";"0.4";"31";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"18.07.2019 18:00";"30.7";"728.2";"757.1";"";"22";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"18.07.2019 15:00";"29.9";"728.5";"757.6";"";"24";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"18.07.2019 12:00";"26.4";"729.0";"758.3";"-0.3";"40";"Ветер, дующий с востоко-северо-востока";"2";"";"";"20–30%.";" ";"";"";"14.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.8";"";"";"";"";"";"";
"18.07.2019 09:00";"22.2";"729.3";"759.1";"0.3";"60";"Ветер, дующий с северо-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"14.1";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"18.07.2019 06:00";"15.5";"729.0";"759.4";"0.4";"74";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"18.07.2019 03:00";"16.5";"728.6";"759.0";"0.2";"71";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"18.07.2019 00:00";"21.1";"728.4";"758.2";"1.4";"51";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"31.5";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"17.07.2019 21:00";"26.3";"727.0";"756.3";"0.8";"34";"Ветер, дующий с северо-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"31.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"9.2";"";"";"";"";"";"";
"17.07.2019 18:00";"30.8";"726.2";"755.0";"0.1";"30";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"17.07.2019 15:00";"31.0";"726.1";"754.9";"-0.1";"27";"Ветер, дующий с северо-северо-востока";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.0";"";"";"";"";"";"";
"17.07.2019 12:00";"27.5";"726.2";"755.3";"0.1";"41";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"19.4";"";"";"";"";"";"";"10.0";"12.9";"Следы осадков";"12";"";"";"";"";
"17.07.2019 09:00";"22.5";"726.1";"755.8";"1.0";"51";"Ветер, дующий с северо-северо-востока";"3";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"10.0";"11.8";"Следы осадков";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"18.0";"";"";
"17.07.2019 06:00";"19.4";"725.1";"754.9";"0.9";"67";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"13.0";"";"";"";"";"";"";
"17.07.2019 03:00";"21.8";"724.2";"753.8";"1.4";"59";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"";"";"";"";"";"";
"17.07.2019 00:00";"24.9";"722.8";"752.0";"-0.1";"38";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"37.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"9.7";"";"";"";"";"";"";
"16.07.2019 21:00";"29.9";"722.9";"751.7";"-0.1";"26";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"37.1";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"16.07.2019 18:00";"35.8";"723.0";"751.3";"-0.7";"16";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.5";"";"";"";"";"";"";
"16.07.2019 15:00";"35.2";"723.7";"752.0";"-0.9";"18";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
"16.07.2019 12:00";"32.3";"724.6";"753.2";"-0.6";"23";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"22.4";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"16.07.2019 09:00";"25.0";"725.2";"754.6";"0.1";"39";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.0";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"20.0";"";"";
"16.07.2019 06:00";"22.7";"725.1";"754.7";"-0.2";"40";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"16.07.2019 03:00";"24.0";"725.3";"754.8";"-0.5";"32";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"16.07.2019 00:00";"27.7";"725.8";"754.9";"0.0";"27";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"33.1";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
